,index
1986-09-15,0.00163569860160351
1986-10-15,0.00173479341901839
1986-11-15,0.00182667863555253
1986-12-15,0.0019131922163069198
1987-01-15,0.0020582294091582303
1987-02-15,0.0021911098156124397
1987-03-15,0.00237205298617482
1987-04-15,0.00245121563784778
1987-05-15,0.00255299615673721
1987-06-15,0.00275797117501497
1987-07-15,0.00303645408712327
1987-08-15,0.00345347146503627
1987-09-15,0.00385635322891176
1987-10-15,0.00461122579872608
1987-11-15,0.005084787961095571
1987-12-15,0.005257249809801579
1988-01-15,0.00573505274951458
1988-02-15,0.0063330139964819
1988-03-15,0.007267415989190341
1988-04-15,0.00851988233625889
1988-05-15,0.009858580306172371
1988-06-15,0.01162984501570463
1988-07-15,0.0146125815808773
1988-08-15,0.018648464232683182
1988-09-15,0.02082967758178711
1988-10-15,0.02270272374153137
1988-11-15,0.02399901114404202
1988-12-15,0.02564163692295551
1989-01-15,0.02792887389659882
1989-02-15,0.0306076817214489
1989-03-15,0.0358126275241375
1989-04-15,0.047763362526893616
1989-05-15,0.08524264395236969
1989-06-15,0.18282191455364227
1989-07-15,0.5423123836517334
1989-08-15,0.7476391196250916
1989-09-15,0.8175836205482483
1989-10-15,0.8633297085762024
1989-11-15,0.9196102023124694
1989-12-15,1.2881251573562622
1990-01-15,2.3083837032318115
1990-02-15,3.7296643257141113
1990-03-15,7.292451381683349
1990-04-15,8.121793746948242
1990-05-15,9.226961135864256
1990-06-15,10.509312629699709
1990-07-15,11.646988868713379
1990-08-15,13.433368682861328
1990-09-15,15.539366722106934
1990-10-15,16.734407424926758
1990-11-15,17.76869773864746
1990-12-15,18.599609375
1991-01-15,20.031530380249023
1991-02-15,25.438123703002926
1991-03-15,28.247074127197266
1991-04-15,29.803647994995124
1991-05-15,30.63949012756348
1991-06-15,31.596588134765625
1991-07-15,32.415260314941406
1991-08-15,32.836944580078125
1991-09-15,33.4169921875
1991-10-15,33.86839294433594
1991-11-15,34.00011444091796
1991-12-15,34.22084808349609
1992-01-15,35.262069702148445
1992-02-15,36.02162933349609
1992-03-15,36.77794265747071
1992-04-15,37.25118255615233
1992-05-15,37.501907348632805
1992-06-15,37.79595184326172
1992-07-15,38.44937133789063
1992-08-15,39.02481842041016
